No;Nama Organisasi;;Profil Organisasi;Alamat Organisasi;"Kontak Lembaga/
Kontak Layanan";Email Lembaga;Layanan Yang Diberikan;
66;LBH WCC BALI;;Nama: LBH Bali WCC, alamat : Jl.muding indah VIII no. 1 Badung, Tujuan: penanganan kasus perempuan dan Anak  dan pemberdayaan ekonomi kreatif bagi masyarakat kurang mampu. Program pemberdayaan ekonomi kreatif ini berawal dari penanganan kasus dimana klaen yang kita dampingi tidak hanya masyarakat mampu secara finansial tapi juga masyarakat yg  kurang mampu ( korban penyintas) dan tidak mempunyai keahlian dari temuan itulah kemudian  LBH bali WCC membuat program pemberdayaan ekonomi kreatif dengan memberikan pelatihan yg dapat membantu perekonomian dan jika terkendala dana,  kami juga akan memberikan dana modal usaha. LBH Bali WCC juga mempunyai sekolah paralegal tujuannya untuk melakukan pemberdayaan bagi masyarakat umum yang mau ikut terlibat dalam pendampingan hukum walaupun mereka tidak punya basic hukum dengan memberikan pelatihan.  materinya terkqit dasar2 hukum,cara penanganan kasus dll.;Jl. Muding Indah VIII No.1 Badung Bali, Kerobokan, Kuta Utara, Badung, Bali;";082144994170";lbhbwcc@gmail.com;";Evakuasi
;Mediasi
;Pemberdayaan Ekonomi
;Konseling dengan psikolog
;Pendampingan hukum (Litigasi)
;Konseling dengan konselor komunitas
;Konsultasi hukum";
67;YLBH APIK KALTIM;;Konsen terhadap kasus Perempuan dan anak;Jl. Sukses 1 Perum Pondok Giri indah Blok 0 No. 2, Sambutan, Sambutan, Samarinda, Kalimantan Timur;";08125822715";ylbhapikkaltim@gmail.com;";Konsultasi hukum
;Pendampingan hukum (litigasi)
;Mediasi";
68;SPI DELISERDANG;;Organisasi ini bernama Serikat Perempuan Independen (SPI) Deli Serdang, berbentuk serikat, berkedudukan di kabupaten Deli Serdang. Dan di dirikan pada tanggal 2 Februari 2002. Saat ini, SPI Deli Serdang memiliki Anggota Komunitas sebanyak 200 orang Perempuan Akar Rumput di 5 Desa. SPI Deli Serdang hadir untuk mewujudkan masyarakat yang adil dan sejahtera tanpa ada penindasan antara perempuan dan laki-laki dengan memberikan penghargaan yang sama terhadap hak-hak yang dimiliki oleh perempuan dan laki-laki.;Jln. M.H. Thamrin No.53 A, Syahmad, Lubuk Pakam, Deli Serdang, Sumatera Utara;";082277757363";spi.deliserdang@gmail.com;";Konseling dengan psikolog
;Mediasi
;Konseling dengan konselor komunitas
;Evakuasi
;Pemberdayaan Ekonomi
;Pendampingan hukum (Litigasi)";
69;Lensa Sukabumi;;"Lembaga Penelitian Sosial dan Agama (LENSA) Sukabumi merupakan suatu forum atau lembaga yang dibentuk pada tanggal 7 Juli 2002 oleh masyarakat, terutama kalangan pemuda dan mahasiswa Islam Sukabumi, dalam membangun, memelihara dan memberdayakan umat beragama untuk kerukunan dan kesejahteraan masyarakat, dimana pada mulanya lembaga ini merupakan komunitas kajian keislaman yang fokus menyoroti masalah keagamaan dan sosial. Diantara para pendiri lensa adalah sebagai berikut:
 1. U. Syamsudin AK, M.Ag 2. Daden Sukendar, M.Ag 3. Ujang Miftah, SHI 4. Abdul Halim, S.Pd.I 5. Ceceng Ma’mun Nawawi, S.Pd.I 6. Sansan, SE 7. Kamaliyah, SHI
 
Pada tahap awalnyanya, atas kesepakatan para pendiri dan anggota serta usulan dari berbagai pihak, maka komunitas kajian keislaman tersebut menjadi sebuah wadah berinteraksi kaum muda Islam untuk mewujudkan cita-cita ”Islam rahmatan lil ’alamin” di Kabupaten Sukabumi, dan diberi nama Lembaga Analisis Sosial dan Agama (LenSA) Sukabumi. Pada perkembangan berikutnya, atas saran dari berbagai kalangan, dengan tujuan agar lebih terasa manfaatnya di masyarakat, lembaga ini dikembangkan yang tadinya hanya sebatas forum kajian dan analisa sosial dan agama, menjadi lembaga yang bergerak di bidang research (penelitian) sosial dan agama, sehingga hal tersebut juga memiliki konsekwensi berubahnya akronim LenSA Sukabumi yang tadinya lembaga analisis menjadi lembaga penelitian atau lengkapnya adalah Lembaga Penelitian Sosial dan Agama (LENSA) Sukabumi.
Dalam mewujudkan cita-cita diatas, LENSA SUKABUMI telah mencoba membangun komunikasi dengan berbagai pihak termasuk elemen lintas agama untuk mewujudkan kesejahteraan sosial dan kerukunan umat beragama. Setelah didirikan pada tahun 2002 LENSA Sukabumi baru dapat diaktanotariskan pada tahun 2009 dengan Notaris Hj. Titiek Wahyu Sumarni, SH No.01 tertanggal 05 September 2009 , pada tahap berikutnya di tahun 2016 ditingkatkan kekuatan hukumnya secara legal formal menjadi sebuah Yayasan dengan nama Yayasan LENSA BHINEKA NUSANTARA sesuai akta Notaris Hery Sarmanto, SH No. 10 tertanggal 11 Maret 2016 dan SK Kemenkumham : AHU-0014655.AH.01.04. Tahun 2016
 
Visi & Misi Organisasi
Visi :  Terwujudnya tatanan masyarakat beragama dan berkeyakinan yang silih asah, silih asih, silih asuh, sejahtera, sehat dan berkeadilan atas dasar Kemanusiaan, Kebersamaan dan Perdamaian.
 
Misi : - Mendorong terciptanya masyarakat yang beriman dan bertakwa 
              - Meningkatkan Sumberdaya manusia yang berdaya saing dan religious 
              - Meningkatkan tata kelola Lembaga yang bersih dan professional
              - Meningkatkan derajat kesehatan yang berkeadilan 
              - Melestarikan tradisi/kearifan lokal untuk memperkokoh persatuan
              - Merawat keragaman untuk menjaga nilai-nilai luhur kemanusiaan dan perdamaian";Perum Cibatu Regency Blok B No. 15  Jl. Siliwangi Cibatu LIK Rt. 17/04 Cibatu Cisaat Sukabumi, Jawa Barat;";(0266) 4281166
;(0266) 6243019
;08156070428";Lensa_oks@yahoo.co.id;";Konsultasi hukum
;Pendampingan hukum (litigasi)
;Konseling dengan konselor komunitas
;Evakuasi
;Mediasi";
70;WCC Pasuruan;;Pendampingan Perempuan dan anak;Tidak punya kantor fisik dan virtual;";089699210795";pasuruanwcc@gmail.com;";Pendampingan Hukum (litigasi) 
;Konseling dengan psikolog 
;Konseling dengan konselor komunitas 
;Mediasi
;dikarena kondisi lembaga tidak seperti sediakala. kami ada keterbatasan SDM dan keuangan untuk melakukan banyak kegiatan. maka dari itu sementara ini hanay menerima pengaduan dan dirujuk ke wilayah korban terdekat atau ke p2tp2a terdekat";
71;Edeellweis Bondowoso;;lembaga pendampingan bagi korban Kekerasan terhadap perempuan dan anak Bondowoso;Perum Permata Kembang blok B1. RT 22 RW 03 Ds Sukowiryo Kec. Bondowoso - Bondowoso Jatim ( 68219);";081230856486";Eldellweis2022@gmail.com;";Konsultasi hukum
;Pendampingan hukum (litigasi)
;Konseling dengan psikolog
;Konseling dengan konselor komunitas
;Rumah aman
;Evakuasi
;Mediasi
;Pemberdayaan ekonomi
;Pelatihan sesuai keminatan";
72;Jentera Jember;;LBH Jentera Perempuan Indonesia merupakan lembaga layanan hukum yang memberikan pendampingan hukum bagi korban Kekerasan terhadap perempuan dan anak di Jember. Layanan diberikan secara cuma -cuma. Layanan berupa konsultasi, layanan hukum litigasi dan non litigasi. Didirikan sejak tahun 2017, di Jember.;Royal City cluster broadway no 63, tegal besar, Kaliwates, Jember, Jawa Timur;";085852337411";jenteraperempuanlbh@gmail.com;";Pendampingan hukum (Litigasi)
;Konsultasi hukum
;Pemberdayaan Ekonomi
;Konseling dengan konselor komunitas
;Mediasi
;Rumah aman";
73;LP3A Papua;;"Visi LP3A Papua 
LP3A-P sebagai   lembaga yang mempunyai komitmen dan keprihatinan untuk masalah-masalah kekerasan terhadap perempuan dan anak mempunyai visi sebagai berikut: “Terwujudnya masyarakat Papua  yang berkeadilan dan berkesetaraan gender.” 
 
 
Misi LP3A Papua
Upaya untuk mewujudkan visi tersebut itulah yang memposisikan peran LP3A sebagai lembaga Studi dan Advokasi untuk memberdayakan perempuan dan anak menuju pencapaian kesetaraan dan keadilan Gender. Misi dilakukan dengan cara : 
 
Misi: 
1.     Memberdayakan dan melakukan pendampingan perempuan dan anak korban kekerasan dan dengan pelibatan komunitas 
2.     Mempengaruhi kebijakan yang melindungi perempuan dan anak, serta mengawal implementasi kebijakan secara efektif
3.     Melakukan kampanye dan pendidikan publik serta meningkatkan peran LP3AP sebagai Pusat informasi dan dokumentasi tentang isu kekekerasan terhadap perempuan dan anak.
4.     Meningkatkan kapasitas LP3AP dalam fungsi-fungsi pengelolaan organisasi dan program yang dijalankan secara efektif. 
 
 
Untuk mencapai visi/misi tersebut, ditetapkan falsafah atau nilai-nilai yang menjadi dasar atau landasan kerja bagi LP3A, adalah sebagai berikut : 
Keadilan dan kesetaraan gender 
Demokrasi 
Hak asasi manusia 
Anti kekerasan 
Independen  
Non Sektarian";JL. Bosnik, BTN Kamkey, Blok C. No. 41, Kelurahan Awiyo, Abepura, Kota Jayapura, Papua;";081344311135";lp3a_p@yahoo.com;";Konsultasi hukum 
;Pendampingan hukum (litigasi) 
;Konseling dengan konselor komunitas";
74;LSM P2H2P Bangka Belitung;;"LSM P2H2P didirikan dikota pangkal pinang provinsi kepulauan Bangka belitung pada tanggal 15 maret 2002
Akta pendirian dan izin operasional Akta Notaris No 26 Tahun 2002 
Notaris Pembuat Akta Tanah Mulyono Josohardjono, SH.
Surat Keterangan Kesbangpol Provinsi No 611/BKBPM/2005
Alamat LSM P2H2P di jalan elang raya IV no 69 RT 008 RW 002 perumnas bukit merapen pangkal pinang Provinsi kep Babel 33123";Jalan Elang Raya IV no 69 RT 008 RW 002, Bukit Merapen, Gerunggang, Pangkal Pinang, Kepulauan Babel;";08127373706";Ibu.zubaidah23@gmail.com;";Konsultasi hukum 
;Mediasi 
;Pemberdayaan ekonomi";
75;Sapda;;"SAPDA merupakan singkatan dari SENTRA ADVOKASI PEREMPUAN DIFABEL DAN ANAK, Badan Hukum Atas nama lembaga SAPDA no. 51 tahun 2005 dengan Akta Notaris Anhar Rusli, diubah dengan no. 7 tahun 2013 dengan akta notaris Herry Sabto Widodo, dan dilakukan perubahan bentuk kelembagaan menjadi Yayasan pada tahun 2016 dengan nama Yayasan Sentra Advokasi Perempuan, Difabel dan Anak dengan Akta Notaris Ika Farikha no. 4 tanggal 12 Oktober tahun, 2016 , dan disahkan dengan Keputusan Menteri Hukum dan Hak Asasi Manusia RI No. AHU-0040582.AH.01.04 tahun 2016 tentang Pengesahan Pendirian Badan Hukum Sentra Advokasi Perempuan, Difabel dan Anak.
 
VISI
Sentra Advokasi Perempuan Difabel dan Anak (SAPDA) adalah Lembaga Swadaya Masyarakat (LSM) dengan visi “Mewujudkan keadilan, kebebasan, kesejahteraan & kesetaraan untuk pemenuhan dan perlindungan hak perempuan, penyandang disabilitas dan anak dalam masyarakat inklusi atas dasar persamaan hak asasi manusia.
 
MISI
1. Melakukan kajian keilmuan dan penelitian ilmiah.
2. Memperjuangkan terwujudnya kebijakan publik yang menjamin pemenuhan hak-hak dasar perempuan, difabel, dan anak sebagai individu yang bermartabat di bidang pendidikan, kesehatan, pekerjaan, perlindungan hukum, manajemen bencana dan jaminan sosial.
3. Melakukan pemberdayaan, pendidikan dan advokasi tentang isu-isu perempuan, difabel dan anak di kalangan masyarakat luas.
4. Menjalin kerjasama dengan stakeholder di Indonesia dan luar Indonesia berkaitan inklusi sosial, gender dan disabilitas.
5. Membangun Sapda sebagai crisis center bagi perempuan, difabel dan anak.
6. Mewujudkan pusat sumber sebagai pusat rujukan inklusi sosial, gender dan disabilitas.
7. Menjadi organisasi yang mandiri dan profesional.";Perumahan Pilahan Permai Jl Catlea C 39, Rejowinangun, Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta;";    0274-2841999
;    0813-9266-9448";info_sapda@yahoo.com;";Konsultasi hukum
;Pendampingan hukum (litigasi) 
;Konseling dengan psikolog
;Konseling dengan konselor komunitas
;Mediasi";
76.;SAMMI INSTITUT;;;;";";;";";
77.;UME DAYA NUSANTARA  NTT;;;;";";;";";
78;GAYA LENTERA LAMPUNG;;;;";";;";";
79;RUMAH PEREMPUAN DAN ANAK SUKABUMI;;;;";";;";";
80;BERANDA PEREMPUAN JAMBI;;;;";";;";";
81.;QBUKATABU;;;;";";;";";
82.;KABAR BUMI;;;;";";;";";
83;YAYASAN LINGKAR PEREMPUAN LINGKAR NAPSA NUSANTARA BOGOR;;;;";";;";";
84.;FATIMAH CENTER JOGJAKARTA;;;;";";;";";
85.;SELENDANG PUAN DHARMA AYU INDRAMAYU;;;;";";;";";
86;LBH APIK Jayapura;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
"  
";;;;;;;;
